customer_id,phone_service,internet_service,online_backup,online_security,device_protection,tech_support,streaming_tv,streaming_movies
7921-BEPCI,Yes,DSL,Yes,Yes,No,No,No,No
4257-GAESD,No,DSL,No,No,No,No,Yes,Yes
5759-RCVCB,No,DSL,No,No,No,No,Yes,No
9646-NMHXE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4568-TTZRT,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6435-SRWBJ,Yes,Fiber optic,No,No,Yes,Yes,No,No
4831-EOBFE,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2000-DHJUY,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
5447-WZAFP,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
3097-PYWXL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7488-MXJIV,Yes,Fiber optic,No,No,No,No,Yes,No
1447-GIQMR,Yes,Fiber optic,No,No,No,No,No,No
2277-VWCNI,Yes,DSL,No,No,No,No,No,No
6646-QVXLR,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
0536-BGFMZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2800-VEQXM,Yes,Fiber optic,No,No,Yes,No,No,No
9972-NKTFD,Yes,DSL,Yes,No,No,Yes,No,No
0661-KQHNK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8885-QSQBX,Yes,DSL,No,Yes,No,No,No,No
9392-XBGTD,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9752-ZNQUT,Yes,DSL,Yes,No,No,No,No,No
2439-LYPMQ,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
9092-GDZKO,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5897-ZYEKH,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
6394-MFYNG,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
7216-KAOID,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9467-ROOLM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3161-GETRM,Yes,Fiber optic,No,No,Yes,No,No,Yes
1813-JLKWR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3999-QGRJH,Yes,Fiber optic,No,No,No,No,No,No
7838-LAZFO,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
4513-CXYIX,Yes,Fiber optic,No,Yes,No,No,No,No
2519-TWKFS,Yes,DSL,No,No,No,Yes,No,No
7033-CLAMM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3606-SBKRY,No,DSL,No,No,Yes,No,Yes,Yes
0431-APWVY,Yes,Fiber optic,No,No,No,No,Yes,Yes
1422-DGUBX,Yes,Fiber optic,No,No,No,Yes,No,No
4522-AKYLR,Yes,DSL,Yes,No,Yes,No,No,No
1544-JJMYL,Yes,DSL,No,Yes,Yes,Yes,Yes,No
5047-LHVLY,Yes,DSL,No,No,Yes,No,No,No
1794-SWWKL,Yes,DSL,No,No,Yes,Yes,No,No
8966-KZXXA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3146-MSEGF,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
6397-JNZZG,No,DSL,Yes,No,Yes,No,Yes,Yes
0310-MVLET,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
9146-JRIOX,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8039-EQPIM,No,DSL,No,Yes,Yes,Yes,Yes,Yes
6121-TNHBO,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
3296-SILRA,Yes,Fiber optic,Yes,No,No,No,No,No
0384-RVBPI,Yes,DSL,No,Yes,Yes,No,No,Yes
4391-LNRXK,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes
9101-NTIXF,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7638-QVMVY,Yes,Fiber optic,No,No,No,No,Yes,No
3450-WXOAT,Yes,DSL,No,No,No,No,No,No
8571-ZCMCX,No,DSL,Yes,Yes,Yes,No,Yes,Yes
3049-SOLAY,Yes,Fiber optic,No,No,No,No,Yes,Yes
5624-BQSSA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9507-HSMMZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1173-NOEYG,Yes,Fiber optic,No,No,Yes,No,No,Yes
5055-MGMGF,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
1455-ESIQH,Yes,Fiber optic,No,No,No,No,Yes,Yes
6180-YBIQI,No,DSL,No,No,No,No,No,No
1481-ZUWZA,Yes,Fiber optic,Yes,Yes,No,No,No,Yes
2359-KMGLI,Yes,Fiber optic,Yes,No,No,No,No,No
2239-CFOUJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4328-VUFWD,Yes,DSL,No,No,No,Yes,No,Yes
2012-NWRPA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
5481-NTDOH,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
5240-CAOYT,Yes,Fiber optic,Yes,Yes,No,Yes,No,No
7858-GTZSP,Yes,Fiber optic,No,No,No,No,No,Yes
9173-IVZVP,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2612-PHGOX,Yes,DSL,Yes,No,Yes,Yes,Yes,No
5313-FPXWG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2379-ENZGV,Yes,Fiber optic,Yes,No,No,No,Yes,No
8372-JUXUI,Yes,Fiber optic,No,No,No,No,No,No
8400-WZICQ,Yes,DSL,Yes,Yes,No,No,No,No
3754-DXMRT,Yes,DSL,No,No,No,No,No,No
9786-IJYDL,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
8100-PNJMH,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
5917-HBSDW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9474-PHLYD,Yes,DSL,No,No,Yes,No,No,Yes
5889-JTMUL,Yes,Fiber optic,Yes,No,Yes,No,Yes,No
3486-KHMLI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0644-OQMDK,Yes,Fiber optic,No,No,No,No,No,No
9402-CXWPL,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
7786-WBJYI,Yes,Fiber optic,Yes,No,No,No,No,No
0191-EQUUH,No,DSL,No,Yes,No,Yes,No,No
7314-OXENN,Yes,Fiber optic,Yes,No,No,No,No,No
4183-WCSEP,Yes,Fiber optic,Yes,No,No,Yes,No,No
7861-UVUFT,Yes,Fiber optic,No,No,Yes,No,Yes,No
4818-QIUFN,Yes,Fiber optic,No,Yes,No,No,No,No
2085-JVGAD,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6729-FZWSY,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3653-NCRDJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8780-IHCRN,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4079-VTGLK,Yes,DSL,No,No,Yes,No,Yes,Yes
5816-JMLGY,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
0426-TIRNE,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6253-GNHWH,Yes,DSL,Yes,Yes,Yes,Yes,No,No
4079-ULGFR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5550-VFRLC,Yes,Fiber optic,No,No,No,No,No,No
2586-CWXVV,No,DSL,Yes,No,No,No,No,No
5216-WASFJ,Yes,Fiber optic,No,No,No,No,No,Yes
7665-TOALD,Yes,Fiber optic,No,No,No,No,No,No
6838-HVLXG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5364-XYIRR,Yes,Fiber optic,No,No,No,No,Yes,Yes
6496-SLWHQ,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
2236-HILPA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8685-WHQPW,Yes,Fiber optic,No,No,No,No,No,No
3756-VNWDH,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
2824-DXNKN,Yes,DSL,No,Yes,Yes,No,Yes,No
8884-MRNSU,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6362-QHAFM,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
9591-YVTEB,No,DSL,Yes,Yes,No,No,Yes,No
8174-LNWMW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8950-MTZNV,Yes,DSL,No,No,No,No,No,No
3468-DRVQJ,Yes,DSL,Yes,Yes,No,No,Yes,No
3097-IDVPU,Yes,DSL,No,No,No,No,No,No
1582-RAFML,Yes,DSL,Yes,No,No,Yes,No,No
8280-MQRQN,Yes,DSL,No,No,Yes,No,No,No
7284-BUYEC,No,DSL,Yes,No,No,No,Yes,Yes
8495-PRWFH,Yes,DSL,No,No,Yes,No,No,No
7980-MHFLQ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7137-NAXML,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2961-VNFKL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6586-PSJOX,Yes,DSL,No,No,Yes,Yes,No,No
2144-ESWKO,No,DSL,No,Yes,Yes,No,No,No
0384-LPITE,No,DSL,Yes,Yes,Yes,No,Yes,Yes
5003-XZWWO,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
0739-UUAJR,No,DSL,No,Yes,Yes,No,Yes,Yes
2925-VDZHY,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3269-ATYWD,Yes,Fiber optic,No,No,No,No,Yes,Yes
2690-DVRVK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7239-HZZCX,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5698-BQJOH,Yes,Fiber optic,No,No,No,No,Yes,Yes
0003-MKNFE,Yes,DSL,No,No,No,No,No,Yes
1657-DYMBM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2252-ISRNH,Yes,Fiber optic,No,No,Yes,No,Yes,No
6345-FZOQH,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9909-DFRJA,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes
8046-DNVTL,No,DSL,Yes,Yes,No,Yes,No,No
8707-HOEDG,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8775-CEBBJ,Yes,DSL,No,No,No,No,No,No
2860-RANUS,Yes,Fiber optic,No,No,No,No,No,Yes
6904-JLBGY,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
5996-EBTKM,Yes,DSL,No,No,Yes,Yes,No,Yes
6603-QWSPR,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1872-EBWSC,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5126-RCXYW,No,DSL,No,No,Yes,Yes,No,Yes
3594-BDSOA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5130-IEKQT,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
7554-NEWDD,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8174-TBVCF,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2408-PSJVE,Yes,DSL,Yes,No,Yes,Yes,No,No
3276-HDUEG,Yes,Fiber optic,No,No,No,No,No,No
7036-TYDEC,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
9347-AERRL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4608-LCIMN,Yes,DSL,No,No,No,No,No,No
3154-CFSZG,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
0880-FVFWF,Yes,Fiber optic,Yes,Yes,No,No,No,No
8966-OIQHG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4123-FCVCB,Yes,DSL,No,No,No,Yes,Yes,Yes
6878-GGDWG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5172-MIGPM,Yes,DSL,No,No,No,Yes,No,Yes
6050-IJRHS,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
6234-PFPXL,Yes,Fiber optic,No,Yes,No,Yes,Yes,No
8123-QBNAZ,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4234-XTNEA,Yes,Fiber optic,No,No,No,No,Yes,No
5955-EPOAZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5405-ZMYXQ,Yes,Fiber optic,No,No,No,No,No,No
5599-HVLTW,Yes,Fiber optic,No,No,Yes,No,No,No
1194-SPVSP,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3677-IYRBF,No,DSL,No,No,Yes,No,No,No
4111-BNXIF,No,DSL,Yes,No,Yes,Yes,Yes,Yes
6854-EXGSF,Yes,DSL,Yes,Yes,Yes,No,No,No
3488-PGMQJ,Yes,Fiber optic,Yes,No,No,No,No,No
3969-GYXEL,Yes,Fiber optic,No,Yes,No,No,No,No
0458-HEUZG,No,DSL,No,No,Yes,Yes,No,No
8651-ENBZX,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
4585-HETAI,Yes,Fiber optic,No,No,Yes,No,No,No
0235-KGSLC,Yes,Fiber optic,No,No,Yes,No,Yes,No
3158-MOERK,Yes,Fiber optic,No,No,No,No,Yes,Yes
0277-BKSQP,Yes,DSL,No,No,No,No,Yes,No
4629-NRXKX,Yes,Fiber optic,No,No,No,No,No,No
7055-HNEOJ,Yes,DSL,No,No,Yes,Yes,No,No
8107-RZLNV,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
0619-OLYUR,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
8204-TIFGJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5756-JYOJT,Yes,DSL,No,No,Yes,Yes,No,Yes
8606-CIQUL,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4664-NJCMS,No,DSL,No,Yes,Yes,Yes,Yes,Yes
3457-PQBYH,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8807-ARQET,No,DSL,Yes,No,No,No,No,Yes
5600-PDUJF,Yes,DSL,No,No,No,Yes,No,No
5572-ZDXHY,Yes,Fiber optic,Yes,No,No,No,No,Yes
5220-AGAAX,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5701-SVCWR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7521-AFHAB,Yes,DSL,No,No,No,No,No,No
8879-XUAHX,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
1087-GRUYI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3179-GBRWV,Yes,DSL,Yes,Yes,No,No,No,Yes
5274-XHAKY,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
6692-UDPJC,Yes,Fiber optic,No,No,No,Yes,Yes,No
2466-FCCPT,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
