customer_id,contract,payment_method,paperless_billing
9473-CBZOP,One year,Mailed check,No
7065-YUNRY,Month-to-month,Mailed check,Yes
1919-RTPQD,Month-to-month,Electronic check,No
2920-RNCEZ,Month-to-month,Credit card (automatic),Yes
0835-DUUIQ,One year,Bank transfer (automatic),No
3301-LSLWQ,Month-to-month,Electronic check,Yes
0557-ASKVU,One year,Credit card (automatic),Yes
4891-NLUBA,Two year,Bank transfer (automatic),Yes
3842-IYKUE,Month-to-month,Credit card (automatic),No
0409-WTMPL,One year,Credit card (automatic),Yes
9874-QLCLH,Month-to-month,Electronic check,Yes
5215-LNLDJ,Month-to-month,Electronic check,Yes
1567-DSCIC,Month-to-month,Electronic check,Yes
2674-MIAHT,Month-to-month,Mailed check,Yes
9300-RENDD,Month-to-month,Electronic check,Yes
4302-ZYFEL,One year,Credit card (automatic),Yes
9172-ANCRX,Month-to-month,Electronic check,Yes
7581-EBBOU,One year,Credit card (automatic),Yes
6457-USBER,Month-to-month,Electronic check,Yes
9081-WWXKP,Two year,Credit card (automatic),No
1031-IIDEO,Month-to-month,Electronic check,Yes
7173-TETGO,Two year,Bank transfer (automatic),No
7351-MHQVU,Month-to-month,Credit card (automatic),No
0575-CUQOV,One year,Electronic check,Yes
4002-BQWPQ,Month-to-month,Bank transfer (automatic),No
2324-EFHVG,Two year,Bank transfer (automatic),Yes
1766-GKNMI,Month-to-month,Electronic check,Yes
2866-IKBTM,Month-to-month,Mailed check,No
4129-LYCOI,Two year,Electronic check,Yes
6283-GITPX,Two year,Credit card (automatic),Yes
2203-GHNWN,Month-to-month,Mailed check,Yes
2276-YDAVZ,Month-to-month,Credit card (automatic),Yes
5931-FLJJF,Month-to-month,Mailed check,Yes
3247-MHJKM,Month-to-month,Mailed check,No
4667-QONEA,One year,Credit card (automatic),Yes
6075-SLNIL,Month-to-month,Credit card (automatic),Yes
7874-ECPQJ,Month-to-month,Bank transfer (automatic),Yes
3902-MIVLE,Two year,Mailed check,No
7634-HLQJR,Two year,Credit card (automatic),No
3714-XPXBW,Month-to-month,Credit card (automatic),Yes
1657-DYMBM,Two year,Credit card (automatic),No
7729-XBTWX,Two year,Mailed check,Yes
1761-AEZZR,Month-to-month,Electronic check,Yes
9356-AXGMP,One year,Electronic check,Yes
9087-EYCPR,Two year,Mailed check,No
3521-HTQTV,Two year,Bank transfer (automatic),No
3717-FDJFU,Two year,Mailed check,No
0876-WDUUZ,Month-to-month,Credit card (automatic),Yes
8388-DMKAE,Two year,Mailed check,No
1937-OTUKY,Two year,Bank transfer (automatic),Yes
4086-ATNFV,One year,Mailed check,Yes
4896-CPRPF,Two year,Bank transfer (automatic),No
7621-VPNET,Month-to-month,Credit card (automatic),Yes
3132-TVFDZ,Month-to-month,Electronic check,Yes
9441-QHEVC,Month-to-month,Mailed check,No
4785-NKHCX,Month-to-month,Bank transfer (automatic),No
7665-NKLAV,Two year,Credit card (automatic),No
4703-MQYKT,Two year,Mailed check,No
3194-ORPIK,Month-to-month,Bank transfer (automatic),Yes
9572-WUKSB,Month-to-month,Electronic check,Yes
9494-BDNNC,One year,Electronic check,No
2972-YDYUW,One year,Electronic check,No
1140-UKVZG,Month-to-month,Mailed check,No
1027-LKKQQ,Two year,Bank transfer (automatic),Yes
7971-HLVXI,Two year,Credit card (automatic),Yes
6518-PPLMZ,Two year,Mailed check,Yes
5968-XQIVE,One year,Electronic check,Yes
5701-ZIKJE,Month-to-month,Mailed check,Yes
0742-NXBGR,Month-to-month,Electronic check,Yes
8805-JNRAZ,Month-to-month,Mailed check,No
9546-CQJSU,Month-to-month,Electronic check,Yes
8660-BUETV,Month-to-month,Mailed check,No
8676-TRMJS,Month-to-month,Mailed check,No
8752-GHJFU,One year,Electronic check,Yes
4979-HPRFL,Two year,Bank transfer (automatic),No
3500-RMZLT,Month-to-month,Mailed check,Yes
8720-RQSBJ,Month-to-month,Electronic check,No
1561-BWHIN,One year,Mailed check,No
6727-IOTLZ,Two year,Mailed check,No
8622-ZLFKO,Month-to-month,Electronic check,Yes
4430-YHXGG,Month-to-month,Mailed check,Yes
4541-RMRLG,Month-to-month,Electronic check,No
7096-UCLNH,Month-to-month,Mailed check,No
2907-ILJBN,One year,Mailed check,No
0674-GCDXG,Two year,Bank transfer (automatic),Yes
3999-WRNGR,Month-to-month,Electronic check,Yes
7459-IMVYU,Month-to-month,Electronic check,No
5032-MIYKT,Month-to-month,Mailed check,Yes
7868-BGSZA,One year,Electronic check,Yes
1386-ZIKUV,Month-to-month,Mailed check,Yes
4480-QQRHC,Month-to-month,Bank transfer (automatic),Yes
0310-MVLET,Month-to-month,Electronic check,Yes
3398-GCPMU,Two year,Credit card (automatic),Yes
3108-PCCGG,Two year,Credit card (automatic),No
8496-EJAUI,Month-to-month,Credit card (automatic),Yes
7743-EXURX,Month-to-month,Electronic check,Yes
5730-RIITO,Month-to-month,Credit card (automatic),Yes
2351-BKRZW,Two year,Bank transfer (automatic),No
7072-MBHEV,Month-to-month,Credit card (automatic),Yes
2455-USLMV,Month-to-month,Credit card (automatic),Yes
4737-HOBAX,Two year,Credit card (automatic),No
1934-MKPXS,One year,Credit card (automatic),No
7330-WZLNC,Month-to-month,Electronic check,Yes
6585-WCEWR,Two year,Electronic check,No
0637-KVDLV,Month-to-month,Electronic check,Yes
4455-BFSPD,One year,Bank transfer (automatic),No
1353-LJWEM,Month-to-month,Electronic check,Yes
6194-HBGQN,One year,Credit card (automatic),Yes
2640-LYMOV,Month-to-month,Mailed check,Yes
0107-YHINA,Month-to-month,Electronic check,Yes
9618-LFJRU,Month-to-month,Credit card (automatic),No
9500-IWPXQ,One year,Electronic check,Yes
7905-NJMXS,Month-to-month,Electronic check,No
5839-SUYVZ,Month-to-month,Credit card (automatic),Yes
2466-FCCPT,One year,Bank transfer (automatic),No
3761-FLYZI,Month-to-month,Bank transfer (automatic),Yes
1501-SGHBW,Month-to-month,Mailed check,No
8903-WMRNW,Month-to-month,Electronic check,No
2731-GJRDG,One year,Bank transfer (automatic),Yes
2495-INZWQ,Month-to-month,Electronic check,Yes
3563-SVYLG,Two year,Credit card (automatic),No
9174-IHETN,Two year,Credit card (automatic),No
9065-ZCPQX,Two year,Bank transfer (automatic),No
7594-LZNWR,Month-to-month,Credit card (automatic),No
9365-SRSZE,Month-to-month,Electronic check,Yes
9058-CBREO,Month-to-month,Mailed check,No
5172-MIGPM,Month-to-month,Mailed check,No
6331-EWIEB,Month-to-month,Electronic check,Yes
0895-UADGO,Two year,Mailed check,Yes
9114-DPSIA,Two year,Credit card (automatic),No
2560-WBWXF,Two year,Bank transfer (automatic),Yes
7181-BQYBV,Month-to-month,Electronic check,Yes
0215-BQKGS,Month-to-month,Credit card (automatic),Yes
4310-KEDTB,Month-to-month,Mailed check,Yes
8313-AFGBW,Two year,Electronic check,No
1428-GTBJJ,Month-to-month,Electronic check,Yes
1925-GMVBW,Month-to-month,Credit card (automatic),No
1767-TGTKO,Month-to-month,Electronic check,Yes
5693-PIPCS,Two year,Credit card (automatic),Yes
2043-WVTQJ,Month-to-month,Mailed check,No
2603-HVKCG,Month-to-month,Electronic check,Yes
1171-TYKUR,Month-to-month,Electronic check,No
1074-AMIOH,Month-to-month,Bank transfer (automatic),Yes
0723-DRCLG,Month-to-month,Electronic check,Yes
7816-VGHTO,Two year,Mailed check,No
7349-ALMUX,Two year,Bank transfer (automatic),No
4859-ZSRDZ,Two year,Credit card (automatic),Yes
9066-QRSDU,One year,Electronic check,Yes
1215-FIGMP,Month-to-month,Bank transfer (automatic),Yes
4909-JOUPP,Two year,Credit card (automatic),No
1098-TDVUQ,Month-to-month,Bank transfer (automatic),Yes
1915-IOFGU,Month-to-month,Electronic check,No
1229-RCALF,One year,Electronic check,Yes
6013-BHCAW,Two year,Bank transfer (automatic),Yes
7508-KBIMB,One year,Credit card (automatic),Yes
9897-KXHCM,Month-to-month,Electronic check,Yes
7426-RHZGU,Month-to-month,Bank transfer (automatic),Yes
4476-OSWTN,One year,Mailed check,Yes
8417-GSODA,One year,Bank transfer (automatic),No
5760-IFJOZ,Month-to-month,Mailed check,No
9362-MWODR,Month-to-month,Credit card (automatic),Yes
2451-YMUXS,Two year,Bank transfer (automatic),Yes
2408-WITXK,Month-to-month,Electronic check,Yes
5380-XPJNZ,One year,Mailed check,No
2737-WFVYW,Month-to-month,Electronic check,Yes
5343-SGUBI,One year,Mailed check,Yes
4116-TZAQJ,Month-to-month,Credit card (automatic),Yes
3280-MRDOF,Two year,Credit card (automatic),Yes
1177-XZBJL,One year,Bank transfer (automatic),No
2272-JKMSI,One year,Electronic check,Yes
0093-XWZFY,Month-to-month,Credit card (automatic),Yes
7384-GHBPI,Month-to-month,Electronic check,Yes
1624-WOIWJ,Month-to-month,Mailed check,Yes
8570-KLJYJ,One year,Mailed check,No
8621-MNIHH,Month-to-month,Electronic check,Yes
9610-WCESF,Two year,Electronic check,No
7609-YBPXG,Two year,Bank transfer (automatic),No
0394-YONDK,Two year,Credit card (automatic),No
6701-YVNQG,Two year,Credit card (automatic),Yes
3976-HXHCE,Two year,Bank transfer (automatic),No
9103-TCIHJ,Month-to-month,Mailed check,Yes
2725-IWWBA,One year,Mailed check,No
5934-RMPOV,Month-to-month,Electronic check,Yes
3654-ARMGP,Two year,Credit card (automatic),No
0254-WWRKD,One year,Credit card (automatic),No
2625-TRCZQ,Month-to-month,Electronic check,Yes
1134-YWTYF,Month-to-month,Electronic check,Yes
5378-IKEEG,Month-to-month,Electronic check,Yes
2277-DJJDL,Month-to-month,Electronic check,Yes
6140-QNRQQ,Month-to-month,Mailed check,Yes
0259-GBZSH,Month-to-month,Electronic check,Yes
5976-JCJRH,Month-to-month,Electronic check,Yes
5899-OUVKV,Month-to-month,Electronic check,Yes
2626-URJFX,Month-to-month,Electronic check,Yes
8976-OQHGT,Month-to-month,Mailed check,No
0402-OAMEN,Two year,Bank transfer (automatic),No
1322-AGOQM,Month-to-month,Bank transfer (automatic),No
7563-BIUPC,Month-to-month,Electronic check,Yes
2364-UFROM,One year,Electronic check,No
0484-JPBRU,Month-to-month,Bank transfer (automatic),Yes
9481-WHGWY,Two year,Credit card (automatic),No
9509-MPYOD,One year,Mailed check,No
6339-DKLMK,Month-to-month,Electronic check,Yes
9705-IOVQQ,One year,Electronic check,No
7392-YYPYJ,Month-to-month,Electronic check,Yes
6778-JFCMK,One year,Mailed check,Yes
5133-POWUA,Month-to-month,Mailed check,Yes
7898-PDWQE,Two year,Credit card (automatic),No
1403-LKLIK,One year,Mailed check,No
9330-DHBFL,One year,Mailed check,Yes
8651-ENBZX,One year,Electronic check,Yes
9650-VBUOG,Two year,Credit card (automatic),No
5020-ZSTTY,One year,Bank transfer (automatic),No
2133-TSRRM,Month-to-month,Bank transfer (automatic),Yes
0080-EMYVY,One year,Credit card (automatic),No
9140-CZQZZ,Two year,Bank transfer (automatic),Yes
8885-QSQBX,Month-to-month,Bank transfer (automatic),No
5787-KXGIY,Two year,Credit card (automatic),No
4616-EWBNJ,One year,Bank transfer (automatic),No
6963-KQYQB,Two year,Mailed check,No
6447-EGDIV,One year,Mailed check,No
9124-LHCJQ,Month-to-month,Mailed check,Yes
4177-JPDFU,Month-to-month,Mailed check,No
2576-HXMPA,Month-to-month,Credit card (automatic),No
9788-HNGUT,Two year,Credit card (automatic),Yes
6861-XWTWQ,Month-to-month,Electronic check,Yes
7021-XSNYE,Two year,Credit card (automatic),No
2342-CKIAO,Month-to-month,Mailed check,No
0931-MHTEM,One year,Credit card (automatic),Yes
6997-UVGOX,Two year,Bank transfer (automatic),No
6818-WOBHJ,Month-to-month,Bank transfer (automatic),Yes
8060-HIWJJ,Two year,Credit card (automatic),No
8085-MSNLK,Two year,Mailed check,No
8388-FYNPZ,Month-to-month,Electronic check,No
1209-VFFOC,Two year,Mailed check,Yes
8410-BGQXN,Month-to-month,Mailed check,No
1085-LDWAM,One year,Credit card (automatic),Yes
0236-HFWSV,Month-to-month,Electronic check,Yes
0060-FUALY,Month-to-month,Electronic check,Yes
4012-ZTHBR,Month-to-month,Electronic check,Yes
1303-SRDOK,Two year,Credit card (automatic),Yes
4273-MBHYA,Month-to-month,Electronic check,Yes
0475-RIJEP,Month-to-month,Electronic check,Yes
1619-YWUBB,Two year,Credit card (automatic),Yes
6207-WIOLX,Month-to-month,Credit card (automatic),Yes
9817-APLHW,Month-to-month,Electronic check,No
6128-AQBMT,Month-to-month,Electronic check,Yes
3766-EJLFL,Two year,Bank transfer (automatic),Yes
4080-IIARD,Month-to-month,Electronic check,Yes
2034-CGRHZ,Month-to-month,Credit card (automatic),Yes
8874-EJNSR,Two year,Mailed check,No
2911-UREFD,Month-to-month,Electronic check,No
1768-ZAIFU,Month-to-month,Electronic check,Yes
4625-EWPTF,Month-to-month,Electronic check,Yes
7663-CUXZB,Two year,Electronic check,No
7707-PYBBH,Month-to-month,Mailed check,Yes
0520-FDVVT,One year,Bank transfer (automatic),Yes
1219-NNDDO,Month-to-month,Electronic check,Yes
6770-UAYGJ,Two year,Mailed check,No
2817-NTQDO,Month-to-month,Credit card (automatic),Yes
1371-WEPDS,One year,Electronic check,No
9617-INGJY,Month-to-month,Mailed check,Yes
3500-NSDOA,Two year,Credit card (automatic),No
4822-RVYBB,Month-to-month,Electronic check,Yes
5294-IMHHT,One year,Bank transfer (automatic),No
8017-UVSZU,Month-to-month,Credit card (automatic),No
8637-XJIVR,Month-to-month,Electronic check,Yes
4459-BBGHE,Month-to-month,Electronic check,Yes
9631-XEYKE,Month-to-month,Bank transfer (automatic),No
6281-FKEWS,One year,Electronic check,Yes
2504-DSHIH,Month-to-month,Electronic check,No
4029-HPFVY,Month-to-month,Mailed check,Yes
8535-SFUTN,Month-to-month,Electronic check,Yes
6851-WEFYX,Month-to-month,Electronic check,Yes
6575-SUVOI,Month-to-month,Credit card (automatic),Yes
8118-TJAFG,Month-to-month,Electronic check,Yes
5906-CVLHP,One year,Credit card (automatic),Yes
6980-IMXXE,Two year,Bank transfer (automatic),No
3317-VLGQT,Month-to-month,Electronic check,Yes
3956-MGXOG,Month-to-month,Electronic check,Yes
3466-BYAVD,Month-to-month,Mailed check,Yes
2025-JKFWI,Month-to-month,Mailed check,Yes
1470-PSXNM,One year,Electronic check,Yes
4291-YZODP,One year,Mailed check,No
8626-XHBIE,Two year,Mailed check,Yes
9447-YPTBX,One year,Bank transfer (automatic),Yes
9812-GHVRI,Month-to-month,Bank transfer (automatic),No
5650-VDUDS,Month-to-month,Mailed check,Yes
1960-UYCNN,Month-to-month,Electronic check,Yes
8450-JOVAH,Month-to-month,Mailed check,No
6546-OPBBH,One year,Mailed check,Yes
4776-XSKYQ,One year,Credit card (automatic),No
3422-LYEPQ,Month-to-month,Electronic check,Yes
4123-DVHPH,Month-to-month,Electronic check,Yes
6953-PBDIN,Two year,Bank transfer (automatic),No
8915-NNTRC,Two year,Credit card (automatic),Yes
2160-GPFXD,Two year,Credit card (automatic),Yes
5012-YSPJJ,Month-to-month,Mailed check,No
5075-JSDKI,Two year,Electronic check,No
7107-UBYKY,Month-to-month,Electronic check,Yes
9763-PDTKK,Month-to-month,Bank transfer (automatic),Yes
2050-ONYDQ,Two year,Credit card (automatic),No
5566-SOEZD,One year,Credit card (automatic),Yes
7216-EWTRS,Month-to-month,Electronic check,Yes
3823-KYNQY,One year,Credit card (automatic),No
8510-BBWMU,One year,Mailed check,Yes
9962-BFPDU,Month-to-month,Mailed check,No
9391-LMANN,One year,Electronic check,No
9369-XFEHK,Month-to-month,Bank transfer (automatic),Yes
0947-MUGVO,Month-to-month,Electronic check,Yes
4958-XCBDQ,Month-to-month,Electronic check,Yes
8799-OXZMD,Month-to-month,Mailed check,Yes
3259-QMXUN,Two year,Electronic check,Yes
9498-FIMXL,One year,Mailed check,Yes
7239-HZZCX,Month-to-month,Mailed check,No
3466-RITXD,Month-to-month,Credit card (automatic),Yes
4385-ZKVNW,Month-to-month,Bank transfer (automatic),Yes
0080-OROZO,One year,Electronic check,Yes
8155-IBNHG,Month-to-month,Credit card (automatic),Yes
4163-HFTUK,One year,Electronic check,No
8169-SAEJD,Two year,Credit card (automatic),No
2842-JTCCU,Month-to-month,Bank transfer (automatic),No
9209-NWPGU,One year,Electronic check,No
5442-UTCVD,Month-to-month,Electronic check,No
3705-PSNGL,One year,Electronic check,Yes
3055-VTCGS,One year,Credit card (automatic),No
1035-IPQPU,Month-to-month,Electronic check,Yes
8073-IJDCM,Month-to-month,Mailed check,Yes
1051-EQPZR,Month-to-month,Mailed check,No
8262-COGGB,Month-to-month,Mailed check,Yes
3384-CTMSF,Month-to-month,Electronic check,Yes
4110-PFEUZ,Month-to-month,Mailed check,No
0323-XWWTN,Two year,Mailed check,Yes
5307-UVGNB,Month-to-month,Bank transfer (automatic),Yes
5734-EJKXG,One year,Electronic check,Yes
7299-GNVPL,Month-to-month,Mailed check,No
3487-EARAT,One year,Credit card (automatic),No
9070-BCKQP,Two year,Credit card (automatic),Yes
8229-BUJHX,Two year,Bank transfer (automatic),No
0839-JTCUD,Two year,Credit card (automatic),No
5043-TRZWM,Month-to-month,Electronic check,No
3898-BSJYF,One year,Credit card (automatic),No
0347-UBKUZ,Month-to-month,Mailed check,No
3572-UOLYZ,Month-to-month,Bank transfer (automatic),Yes
7831-QGOXH,Month-to-month,Electronic check,Yes
9659-ZTWSM,One year,Bank transfer (automatic),Yes
6242-MBHPK,Month-to-month,Electronic check,Yes
6838-YAUVY,Two year,Bank transfer (automatic),Yes
2359-KLTEK,Month-to-month,Bank transfer (automatic),Yes
3891-NLXJB,Two year,Mailed check,Yes
2608-BHKFN,Month-to-month,Credit card (automatic),Yes
8659-IOOPU,Two year,Electronic check,No
2636-OHFMN,Month-to-month,Electronic check,Yes
7279-NMVJC,One year,Bank transfer (automatic),No
2801-NISEI,Month-to-month,Electronic check,No
1436-ZMJAN,Month-to-month,Credit card (automatic),Yes
9388-ZEYVT,One year,Electronic check,No
9036-CSKBW,One year,Bank transfer (automatic),No
4335-UPJSI,Two year,Mailed check,No
9932-WBWIK,Month-to-month,Mailed check,No
3088-LHEFH,Month-to-month,Bank transfer (automatic),Yes
4986-MXSFP,Month-to-month,Mailed check,Yes
6855-VLGOS,Two year,Electronic check,No
1407-DIGZV,Two year,Mailed check,No
3146-MSEGF,Two year,Credit card (automatic),Yes
2452-KDRRH,Month-to-month,Credit card (automatic),Yes
5445-UTODQ,Month-to-month,Electronic check,Yes
7881-EVUAD,Month-to-month,Electronic check,Yes
0357-NVCRI,Month-to-month,Credit card (automatic),No
8245-UMPYT,Month-to-month,Electronic check,Yes
5651-CRHKQ,One year,Bank transfer (automatic),Yes
3565-UNOCC,Month-to-month,Bank transfer (automatic),Yes
7710-JSYOA,Two year,Bank transfer (automatic),Yes
6516-NKQBO,Two year,Credit card (automatic),No
1230-QAJDW,Month-to-month,Mailed check,Yes
5829-NVSQN,One year,Bank transfer (automatic),Yes
5386-THSLQ,One year,Bank transfer (automatic),No
2181-UAESM,Month-to-month,Electronic check,No
1587-FKLZB,Month-to-month,Credit card (automatic),Yes
8332-OSJDW,One year,Mailed check,No
0306-JAELE,Month-to-month,Electronic check,Yes
4849-PYRLQ,Two year,Bank transfer (automatic),No
1448-PWKYE,Month-to-month,Electronic check,No
3489-HHPFY,Month-to-month,Electronic check,Yes
2361-UPSND,One year,Mailed check,No
2079-FBMZK,Month-to-month,Mailed check,Yes
9479-HYNYL,Two year,Credit card (automatic),Yes
4079-VTGLK,Two year,Electronic check,No
0731-EBJQB,One year,Electronic check,Yes
9286-DOJGF,Month-to-month,Bank transfer (automatic),Yes
6917-IAYHD,Month-to-month,Mailed check,No
3329-WDIOK,Month-to-month,Electronic check,Yes
7766-CLTIC,Month-to-month,Mailed check,Yes
6685-GBWJZ,One year,Credit card (automatic),No
9360-AHGNL,One year,Mailed check,Yes
9223-UCPVT,Month-to-month,Electronic check,No
9313-CDOGY,Month-to-month,Electronic check,No
5203-XEHAX,One year,Electronic check,No
8752-STIVR,Month-to-month,Electronic check,Yes
9029-FEGVJ,Month-to-month,Mailed check,No
2542-HYGIQ,Month-to-month,Credit card (automatic),No
6559-PDZLR,Month-to-month,Electronic check,Yes
0314-TKOSI,Month-to-month,Mailed check,No
4154-AQUGT,Month-to-month,Bank transfer (automatic),Yes
5609-IMCGG,Month-to-month,Credit card (automatic),Yes
4612-SSVHJ,Month-to-month,Electronic check,Yes
6726-WEXXK,One year,Electronic check,Yes
9526-JAWYF,Month-to-month,Electronic check,No
0447-BEMNG,Month-to-month,Bank transfer (automatic),Yes
5095-AESKG,Month-to-month,Credit card (automatic),Yes
4835-YSJMR,Two year,Bank transfer (automatic),Yes
4614-NUVZD,Month-to-month,Electronic check,Yes
3969-GYXEL,Month-to-month,Electronic check,No
6595-COKXZ,Month-to-month,Mailed check,Yes
2856-HYAPG,Month-to-month,Electronic check,No
2959-EEXWB,Month-to-month,Bank transfer (automatic),Yes
7398-SKNQZ,Month-to-month,Electronic check,No
9862-KJTYK,Month-to-month,Credit card (automatic),Yes
1265-XTECC,One year,Credit card (automatic),Yes
0786-VSSUD,Month-to-month,Mailed check,Yes
5857-XRECV,One year,Bank transfer (automatic),No
1309-XGFSN,One year,Electronic check,Yes
6861-OKBCE,Month-to-month,Credit card (automatic),No
5649-ANRML,Month-to-month,Credit card (automatic),Yes
8443-WVPSS,Month-to-month,Electronic check,Yes
6959-GQEGV,Month-to-month,Electronic check,Yes
7929-DMBCV,Month-to-month,Mailed check,Yes
1465-VINDH,Month-to-month,Credit card (automatic),Yes
0129-KPTWJ,Month-to-month,Electronic check,Yes
0547-HURJB,Month-to-month,Credit card (automatic),No
0480-BIXDE,Month-to-month,Electronic check,Yes
9739-JLPQJ,Two year,Credit card (automatic),No
6032-KRXXO,Month-to-month,Electronic check,Yes
7306-YDSOI,Two year,Bank transfer (automatic),Yes
8430-TWCBX,One year,Credit card (automatic),No
8194-PEEBY,One year,Mailed check,No
4446-BZKHU,Month-to-month,Electronic check,Yes
6925-BAYGL,Two year,Credit card (automatic),No
1777-JYQPJ,Month-to-month,Mailed check,No
6061-PQHMK,One year,Credit card (automatic),No
0415-MOSGF,Month-to-month,Mailed check,No
5666-CYCYZ,Month-to-month,Electronic check,Yes
4819-HJPIW,Month-to-month,Mailed check,No
2067-QYTCF,Month-to-month,Electronic check,Yes
4926-UMJZD,Month-to-month,Mailed check,Yes
2919-HBCJO,Month-to-month,Bank transfer (automatic),Yes
0580-PIQHM,One year,Bank transfer (automatic),Yes
6985-HAYWX,Month-to-month,Bank transfer (automatic),No
1897-OKVMW,Two year,Mailed check,Yes
1635-FJFCC,Month-to-month,Credit card (automatic),Yes
0628-CNQRM,One year,Bank transfer (automatic),Yes
8944-AILEF,Month-to-month,Credit card (automatic),Yes
5940-AHUHD,Month-to-month,Mailed check,No
8150-QUDFX,Month-to-month,Mailed check,No
5286-YHCVC,Two year,Bank transfer (automatic),Yes
